Geneid,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,DMSO1_S1,DMSO2_S2,DMSO3_S3,JOI_Plus_PAN_1_S10,JOI_Plus_PAN_2_S11,JOI_Plus_PAN_3_S12,AvgCase,AvgControl,FoldChange,log2FC_Actual
ENSG00000188229.6,TUBB4B,15354.39947,13310.90535,1.08E-07,1.05E-05,5669.310081,5918.990649,5312.816131,20625.55615,20919.3247,21419.43441,20988.10509,5633.70562,3.725452926,1.897415833
ENSG00000087086.15,FTL,10480.00349,6714.018283,1.16E-09,1.79E-06,1542.54287,1424.646636,1454.860101,11890.85718,12083.33679,11887.86612,11954.02003,1474.016536,8.109827631,3.019671251
ENSG00000242265.6,PEG10,9707.736317,5464.732399,4.04E-07,1.99E-05,602.2112171,610.2964374,620.0850659,10415.40237,9853.882476,10686.51683,10318.60056,610.8642401,16.89180653,4.078251723
ENSG00000111640.15,GAPDH,8605.04372,12673.00863,7.32E-08,8.71E-06,8298.387944,8551.973657,8261.098721,17001.19347,17166.82608,16758.57194,16975.53049,8370.486774,2.0280219,1.020073232
ENSG00000184009.13,ACTG1,6613.553732,5264.861676,3.57E-08,6.70E-06,1957.406453,1982.492563,1934.355415,8538.794447,8754.29314,8421.82804,8571.638542,1958.08481,4.377562452,2.130127761
ENSG00000109971.14,HSPA8,4879.550419,7740.032173,3.07E-06,6.14E-05,5157.830026,5236.952413,5505.988452,10104.1127,9946.906515,10488.40294,10179.80738,5300.256964,1.920625255,0.941576053
ENSG00000187837.4,H1-2,4575.744626,3506.373718,9.23E-07,3.19E-05,1212.497951,1066.045634,1376.960629,5690.827693,6005.219684,5686.690714,5794.24603,1218.501405,4.755223103,2.24951303
ENSG00000125148.7,MT2A,4460.862607,3411.96635,2.86E-06,5.89E-05,1169.658739,1246.578667,1128.367734,5553.001154,5970.422551,5403.769257,5642.397654,1181.535046,4.775480567,2.255645922
ENSG00000106211.10,HSPB1,4454.705821,5323.317721,0.000169153,0.000857796,3217.732919,3293.902731,2776.258782,7810.961481,8065.93639,6775.114025,7550.670632,3095.964811,2.438874824,1.286215713
ENSG00000142871.18,CCN1,4158.682151,2106.150659,1.19E-09,1.79E-06,28.09869922,18.80875124,33.52130101,4207.531859,4127.771612,4221.171733,4185.491734,26.80958382,156.1192356,7.286504494
ENSG00000115758.13,ODC1,4072.444689,2677.10475,4.08E-08,6.83E-06,607.5271893,652.5066401,662.6133876,4749.118103,4596.238348,4794.624832,4713.327094,640.8824057,7.354433594,2.878614236
ENSG00000105825.14,TFPI2,4027.806885,2993.631709,2.32E-08,5.45E-06,965.7638645,924.0060754,1049.41486,4929.64956,5029.808228,5063.147667,5007.535152,979.7282666,5.11114696,2.353647074
ENSG00000167552.15,TUBA1A,3613.898652,2074.382664,4.45E-10,1.37E-06,239.3607104,283.1924946,279.746808,3890.026452,3851.974877,3901.99464,3881.331989,267.4333377,14.51326908,3.859300614
ENSG00000118523.6,CCN2,3611.590428,1806.884641,1.67E-09,1.79E-06,0,1.155228997,2.113051077,3634.840462,3558.028635,3645.170466,3612.679854,1.089426691,3316.129376,11.69528458
ENSG00000125968.9,ID1,3527.555651,2543.812969,1.28E-06,3.87E-05,783.9428202,723.3771334,832.7854765,4486.722739,4329.383487,4106.666157,4307.590794,780.0351434,5.522303489,2.465270176
ENSG00000111669.15,TPI1,3456.520711,4747.468954,1.53E-08,4.91E-06,3010.680655,3017.29315,3029.651992,6422.656158,6445.089095,6559.442676,6475.72931,3019.208599,2.144843292,1.100872244
ENSG00000026025.16,VIM,3339.581568,2451.176077,4.39E-09,2.70E-06,786.2381692,797.8452028,760.0725077,4179.656652,4093.521052,4089.722881,4120.966862,781.3852932,5.273924269,2.398876855
ENSG00000159335.18,PTMS,3256.827662,3198.791004,1.34E-06,3.95E-05,1646.526466,1629.941956,1434.663096,4984.778951,4791.486024,4705.34953,4827.204835,1570.377173,3.073914292,1.62007694
ENSG00000197903.8,H2BC12,3174.865634,2964.965401,1.32E-06,3.93E-05,1428.322161,1275.855908,1428.419682,4432.664732,4494.17553,4730.354391,4552.398218,1377.532584,3.304748121,1.724540317
ENSG00000143878.10,RHOB,2880.513628,1612.722833,2.23E-08,5.44E-06,175.3230624,162.2728258,179.8021675,3096.667353,3085.628828,2976.642759,3052.979647,172.4660186,17.7019199,4.145833934
ENSG00000189060.5,H1-0,2767.708153,2550.369918,2.12E-08,5.44E-06,1156.246289,1163.599725,1179.701512,3980.770907,3863.196059,3958.705018,3934.223994,1166.515842,3.372628003,1.7538732
ENSG00000167658.16,EEF2,2430.468172,5752.643428,1.38E-05,0.000155517,4600.722291,4726.895109,4284.610625,6924.781625,6996.794567,6982.056348,6967.877514,4537.409342,1.535651071,0.618850445
ENSG00000034510.6,TMSB10,2033.36132,3484.930463,3.64E-07,1.87E-05,2502.833862,2437.338182,2464.577367,4429.560787,4486.77484,4588.497743,4501.611123,2468.249804,1.823806941,0.866953021
ENSG00000120885.22,CLU,2005.008185,1033.250688,3.12E-10,1.32E-06,31.40142344,31.4625487,29.37581414,2044.446677,2048.096496,2014.721169,2035.754781,30.74659543,66.2107382,6.04899331
ENSG00000265972.6,TXNIP,1991.016254,1619.754025,2.25E-06,5.08E-05,610.1850403,631.2858245,631.2668298,2634.245854,2480.512165,2731.028439,2615.262153,624.2458982,4.189474308,2.066769227
ENSG00000170315.14,UBB,1699.64243,3468.140398,2.09E-05,0.000201859,2561.664746,2765.210508,2528.082295,4214.563787,4452.093657,4287.227394,4317.961612,2618.319183,1.649134926,0.72170944
ENSG00000154277.13,UCHL1,1655.096996,1133.583051,6.84E-09,3.37E-06,291.5543036,315.4135361,311.1358195,1949.154251,1942.352529,1991.887868,1961.131549,306.0345531,6.408203026,2.679919856
ENSG00000159388.6,BTG2,1585.784837,1010.260162,5.65E-08,7.77E-06,211.8108009,219.6020931,220.6903364,1768.911427,1786.591568,1853.954745,1803.15258,217.3677435,8.295400924,3.05231171
ENSG00000168209.6,DDIT4,1459.632426,869.0682934,9.76E-08,1.00E-05,160.4568097,130.781413,126.5180187,1602.458891,1554.186737,1640.00789,1598.884506,139.2520805,11.4819434,3.521294944
ENSG00000186834.4,HEXIM1,1435.73602,930.8335133,1.89E-09,1.88E-06,218.5953916,213.4453678,206.8557508,1627.463131,1656.824897,1661.816542,1648.701523,212.9655034,7.741636543,2.952638577
ENSG00000135821.19,GLUL,1416.894759,1087.502273,2.58E-07,1.60E-05,373.8976256,371.447021,391.8200354,1818.075478,1733.230468,1836.543012,1795.949653,379.054894,4.737967194,2.244268209
ENSG00000156976.17,EIF4A2,1379.211959,1581.245395,1.79E-06,4.57E-05,879.7868462,863.8592037,931.272197,2229.060807,2225.096991,2358.396326,2270.851375,891.6394156,2.546827041,1.348700987
ENSG00000067225.19,PKM,1345.000131,2194.306592,3.08E-08,6.21E-06,1522.802962,1551.962777,1490.653839,2863.608877,2855.131355,2881.67974,2866.806657,1521.806526,1.883818086,0.913659656
ENSG00000165272.16,AQP3,1344.903465,709.7471631,9.26E-09,3.77E-06,45.33919904,39.27787557,27.26921776,1404.201255,1356.443112,1385.95232,1382.198895,37.29543079,37.06081056,5.21182253
