Geneid,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,DMSO1_S1,DMSO2_S2,DMSO3_S3,JOI1_S4,JOI2_S5,JOI3_S6,AvgCase,AvgControl,FoldChange,log2FC_Actual
ENSG00000197903.8,H2BC12,5145.495803,3950.280485,9.44E-07,0.000165593,1428.322161,1275.855908,1428.419682,6806.736408,6415.709269,6346.639484,6523.028387,1377.532584,4.735298797,2.243455462
ENSG00000187837.4,H1-2,4285.890158,3361.446484,4.53E-07,0.000114094,1212.497951,1066.045634,1376.960629,5603.356679,5511.631657,5398.186353,5504.391563,1218.501405,4.517345275,2.175475188
ENSG00000189060.5,H1-0,2607.952239,2470.491961,3.29E-11,6.96E-07,1156.246289,1163.599725,1179.701512,3772.630459,3768.628872,3782.144911,3774.468081,1166.515842,3.235676658,1.694067446
ENSG00000111640.15,GAPDH,2172.378148,9456.675848,1.00E-05,0.000465907,8298.387944,8551.973657,8261.098721,10638.00445,10437.18293,10553.40739,10542.86492,8370.486774,1.259528293,0.33288353
ENSG00000144485.11,HES6,1955.811417,3726.990951,2.93E-05,0.000780438,2831.088584,2818.505383,2597.661762,4829.364559,4773.651711,4511.673709,4704.89666,2749.085243,1.711440804,0.775211393
ENSG00000265972.6,TXNIP,1896.340149,1572.415973,3.50E-09,2.35E-05,610.1850403,631.2858245,631.2668298,2497.668058,2516.11839,2547.971693,2520.586047,624.2458982,4.037809547,2.013572864
ENSG00000136997.21,MYC,1795.129121,4506.239174,2.54E-06,0.000231453,3646.345881,3645.615213,3534.062749,5492.267124,5414.560782,5304.583298,5403.803735,3608.674614,1.497448319,0.582506213
ENSG00000089157.16,RPLP0,1787.426927,9491.249519,9.56E-06,0.00045332,8500.864979,8758.993615,8532.749574,10351.06274,10453.67447,10350.15174,10384.96298,8597.536056,1.207899905,0.272500908
ENSG00000167658.16,EEF2,1750.009777,5412.414231,0.000127781,0.001796401,4600.722291,4726.895109,4284.610625,6375.382139,6360.661854,6126.213364,6287.419119,4537.409342,1.385684792,0.470599118
ENSG00000188229.6,TUBB4B,1639.778369,6453.594805,0.000393217,0.003660838,5669.310081,5918.990649,5312.816131,7380.728188,7277.39626,7162.327519,7273.483989,5633.70562,1.291065682,0.368562399
ENSG00000067225.19,PKM,1508.30988,2275.961466,1.23E-07,6.52E-05,1522.802962,1551.962777,1490.653839,3066.096527,2989.542804,3034.709888,3030.116406,1521.806526,1.991131168,0.993588264
ENSG00000197958.13,RPL12,1336.230488,4144.371397,1.19E-05,0.00049646,3383.986806,3473.135324,3571.646329,4737.248457,4813.482909,4886.728558,4812.486641,3476.256153,1.38438781,0.469248143
ENSG00000087086.15,FTL,1213.453441,2080.743256,7.91E-06,0.000411429,1542.54287,1424.646636,1454.860101,2722.318259,2742.355541,2597.736129,2687.469977,1474.016536,1.823229191,0.866495929
ENSG00000276180.1,H4C9,1116.700039,821.6719719,6.49E-07,0.000140313,278.4705107,222.6235194,288.8718271,1348.45699,1368.409835,1423.199149,1380.021991,263.3219524,5.240816343,2.389791553
ENSG00000198830.11,HMGN2,964.3960771,2368.323174,1.80E-05,0.000608327,1871.524755,1816.317655,1970.532996,2805.312331,2836.258682,2909.992625,2850.521212,1886.125135,1.51131076,0.595800342
ENSG00000144381.18,HSPD1,946.5332081,2161.162426,3.87E-05,0.000921189,1648.083043,1622.984758,1792.619665,2602.505779,2595.040687,2705.740624,2634.42903,1687.895822,1.560777031,0.642264452
ENSG00000137818.12,RPLP1,907.1958204,5986.156453,0.000294921,0.003020836,5488.346578,5547.522373,5561.806675,6543.06675,6524.382319,6251.814019,6439.754363,5532.558542,1.163974012,0.219058848
ENSG00000170315.14,UBB,868.3690869,3052.503726,0.000128415,0.001801466,2561.664746,2765.210508,2528.082295,3526.107141,3468.743254,3465.214415,3486.68827,2618.319183,1.331651348,0.413216407
ENSG00000242265.6,PEG10,862.6054911,1042.166986,2.05E-07,8.05E-05,602.2112171,610.2964374,620.0850659,1443.337385,1473.305131,1503.766678,1473.469731,610.8642401,2.412106708,1.270293731
ENSG00000109971.14,HSPA8,850.0277246,5725.270826,0.001065412,0.007055646,5157.830026,5236.952413,5505.988452,6080.730547,6096.598865,6273.524653,6150.284688,5300.256964,1.160374814,0.214590887
ENSG00000156976.17,EIF4A2,819.0113155,1301.145073,2.42E-05,0.000699855,879.7868462,863.8592037,931.272197,1624.620464,1728.767352,1778.564377,1710.650731,891.6394156,1.918545436,0.940012932
ENSG00000156508.19,EEF1A1,747.9948153,3799.765853,0.000498476,0.004290879,3297.590262,3478.674847,3501.040225,4086.935947,4138.342908,4296.010926,4173.76326,3425.768445,1.218343658,0.284921132
ENSG00000132475.10,H3-3B,699.7424609,1279.139105,3.50E-07,9.87E-05,915.2671078,914.9229869,957.6135282,1618.770307,1622.070055,1646.190644,1629.010335,929.2678743,1.753004037,0.809829319
ENSG00000184897.6,H1-10,693.0306668,1575.572234,0.000188704,0.00230406,1318.006927,1238.803642,1130.360133,1902.084201,1996.894782,1867.283721,1922.087568,1229.056901,1.563871914,0.645122356
ENSG00000173812.11,EIF1,667.9771725,1712.618218,5.46E-05,0.001124397,1408.554558,1363.990692,1363.343645,2023.206132,1980.734014,2135.880265,2046.606804,1378.629631,1.48452257,0.569999028
ENSG00000198755.11,RPL10A,654.8314229,4473.937298,0.000101548,0.001586695,4156.663549,4222.093399,4060.807811,4857.341376,4782.65957,4764.058082,4801.353009,4146.521586,1.157923071,0.211539408
ENSG00000105825.14,TFPI2,652.427904,1305.942219,4.46E-05,0.000988097,965.7638645,924.0060754,1049.41486,1585.522767,1677.226955,1633.71879,1632.156171,979.7282666,1.665927407,0.736325536
ENSG00000133112.17,TPT1,606.2158223,2519.538124,0.001339536,0.008270827,2138.76386,2117.224212,2393.302566,2830.599121,2776.881375,2860.457607,2822.646035,2216.430212,1.273509998,0.348810286
ENSG00000184678.10,H2BC21,591.280467,370.84174,1.90E-06,0.000206723,65.38433261,88.37580808,71.84437869,693.4580235,629.2961973,676.6916997,666.4819735,75.20150646,8.862614659,3.147732387
ENSG00000142937.12,RPS8,571.7922127,4065.810214,6.50E-05,0.0012467,3775.110358,3733.559193,3831.072774,4402.670318,4290.42074,4362.027905,4351.706321,3779.914108,1.151271218,0.203227746
ENSG00000178035.13,IMPDH2,558.1458919,1381.433512,1.80E-06,0.000204185,1107.737907,1078.494551,1120.849239,1684.803426,1635.200939,1661.515008,1660.506458,1102.360566,1.506318812,0.591027148
ENSG00000005022.6,SLC25A5,528.4180174,1661.139871,1.93E-06,0.000207197,1386.312686,1372.405641,1432.074259,1919.586357,1930.119182,1926.341099,1925.348879,1396.930862,1.378270702,0.462859271
ENSG00000125968.9,ID1,520.5099222,1040.290104,5.67E-05,0.001143827,783.9428202,723.3771334,832.7854765,1312.734694,1330.063352,1258.837151,1300.545066,780.0351434,1.667290348,0.737505362
ENSG00000115758.13,ODC1,497.4278151,889.5963132,3.24E-06,0.000256459,607.5271893,652.5066401,662.6133876,1120.071347,1150.501359,1144.357956,1138.310221,640.8824057,1.776160822,0.828762216
ENSG00000180660.8,MAB21L1,459.1777103,844.2613681,2.70E-06,0.000233011,590.4515086,633.3679365,620.1980938,1058.289279,1096.245582,1067.015808,1073.850223,614.672513,1.747028215,0.804902909
ENSG00000186834.4,HEXIM1,450.4310683,438.1810375,6.42E-07,0.000140313,218.5953916,213.4453678,206.8557508,678.6107473,671.2711976,640.30777,663.3965716,212.9655034,3.115042395,1.639251798
ENSG00000184009.13,ACTG1,437.6062118,2176.887916,1.98E-05,0.000636721,1957.406453,1982.492563,1934.355415,2437.657688,2380.754877,2368.660501,2395.691022,1958.08481,1.223486853,0.290998599
