Geneid,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,DMSO1_S1,DMSO2_S2,DMSO3_S3,PAN_1_S7,PAN_2_S8,PAN_3_S9,AvgCase,AvgControl,FoldChange,log2FC_Actual
ENSG00000184009.13,ACTG1,4014.111456,3965.140538,1.15E-09,5.84E-06,1957.406453,1982.492563,1934.355415,5996.366433,5997.853869,5922.368496,5972.196266,1958.08481,3.0500192,1.608818324
ENSG00000197903.8,H2BC12,3283.991189,3019.528179,5.86E-06,0.000178589,1428.322161,1275.855908,1428.419682,4560.507639,4940.559267,4483.504413,4661.523773,1377.532584,3.383966251,1.75871518
ENSG00000189060.5,H1-0,3063.296089,2698.163886,1.08E-08,1.09E-05,1156.246289,1163.599725,1179.701512,4165.020096,4284.044306,4240.371391,4229.811931,1166.515842,3.62602185,1.858387619
ENSG00000125148.7,MT2A,2846.181394,2604.625744,3.72E-06,0.000140972,1169.658739,1246.578667,1128.367734,3865.982369,4244.332159,3972.834794,4027.716441,1181.535046,3.408884445,1.769299696
ENSG00000125968.9,ID1,2819.845918,2189.958103,5.24E-06,0.000167037,783.9428202,723.3771334,832.7854765,3811.824392,3390.010425,3597.808368,3599.881062,780.0351434,4.615024198,2.206338212
ENSG00000188229.6,TUBB4B,2361.809822,6814.610532,0.000158837,0.001231382,5669.310081,5918.990649,5312.816131,8251.189748,7960.919331,7774.437249,7995.515443,5633.70562,1.419228476,0.505106862
ENSG00000167658.16,EEF2,2027.719115,5551.268899,8.72E-05,0.000836771,4600.722291,4726.895109,4284.610625,6733.618068,6588.949707,6372.817596,6565.128457,4537.409342,1.446889175,0.532954422
ENSG00000109971.14,HSPA8,1764.617973,6182.56595,6.20E-05,0.000676166,5157.830026,5236.952413,5505.988452,6920.154294,7216.090612,7058.379905,7064.874937,5300.256964,1.332930646,0.414601717
ENSG00000105825.14,TFPI2,1741.486309,1850.471421,2.59E-06,0.000119205,965.7638645,924.0060754,1049.41486,2690.198233,2644.533564,2828.911929,2721.214575,979.7282666,2.777519714,1.473797152
ENSG00000187837.4,H1-2,1659.011407,2048.007108,1.33E-05,0.000276814,1212.497951,1066.045634,1376.960629,2878.293109,2901.155259,2853.090069,2877.512812,1218.501405,2.361517846,1.239714438
